year,make,model,vclass,displ,tran,cyl,drive,fueltype,tcharger,scharger,guzzler,cty,hwy,cmb,pv,lv,country
2000,acura,NSX,Two Seaters,3,Automatic 4-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,15,22,18,NA,NA, Japan
2000,acura,NSX,Two Seaters,3.2,Manual 6-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,15,22,18,NA,NA, Japan
2000,bmw,M Coupe,Two Seaters,3.2,Manual 5-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,17,23,19,NA,NA, Germany
2000,bmw,Z3 Coupe,Two Seaters,2.8,Automatic 4-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,17,24,19,NA,NA, Germany
2000,bmw,Z3 Coupe,Two Seaters,2.8,Manual 5-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,17,24,19,NA,NA, Germany
2000,bmw,Z3 Roadster,Two Seaters,2.5,Automatic 4-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,17,24,19,NA,NA, Germany
2000,bmw,Z3 Roadster,Two Seaters,2.5,Manual 5-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,17,25,20,NA,NA, Germany
2000,bmw,Z3 Roadster,Two Seaters,2.8,Automatic 4-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,17,24,19,NA,NA, Germany
2000,bmw,Z3 Roadster,Two Seaters,2.8,Manual 5-spd,6,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,17,24,19,NA,NA, Germany
2000,bmw,Z8,Two Seaters,4.9,Manual 6-spd,8,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,12,19,15,NA,NA, Germany
2000,chevrolet,Corvette,Two Seaters,5.7,Automatic 4-spd,8,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,15,23,18,NA,NA, United States
2000,chevrolet,Corvette,Two Seaters,5.7,Manual 6-spd,8,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,16,25,19,NA,NA, United States
2000,dodge,Viper Convertible,Two Seaters,8,Manual 6-spd,10,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,11,19,14,NA,NA, Italy/ United States
2000,dodge,Viper Coupe,Two Seaters,8,Manual 6-spd,10,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,11,19,14,NA,NA, Italy/ United States
2000,ferrari,360 Modena/Spider,Two Seaters,3.6,Manual 6-spd,8,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,10,15,11,NA,NA, Italy/ United States
2000,ferrari,360 Modena/Spider,Two Seaters,3.6,Automatic (S6),8,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,10,15,11,NA,NA, Italy/ United States
2000,ferrari,550 Maranello,Two Seaters,5.5,Manual 6-spd,12,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,8,12,9,NA,NA, Italy/ United States
2000,honda,Insight,Two Seaters,1,Manual 5-spd,3,Front-Wheel Drive,Regular,FALSE,FALSE,FALSE,49,61,53,NA,NA, Japan
2000,honda,S2000,Two Seaters,2,Manual 6-spd,4,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,18,23,20,NA,NA, Japan
2000,lotus,Esprit.v8,Two Seaters,3.5,Manual 5-spd,8,Rear-Wheel Drive,Premium,TRUE,FALSE,FALSE,14,21,16,NA,NA, Malaysia
2000,mazda,MX-5 Miata,Two Seaters,1.8,Automatic 4-spd,4,Rear-Wheel Drive,Regular,FALSE,FALSE,FALSE,20,25,22,NA,NA, Japan
2000,mazda,MX-5 Miata,Two Seaters,1.8,Manual 5-spd,4,Rear-Wheel Drive,Regular,FALSE,FALSE,FALSE,22,27,24,NA,NA, Japan
2000,mazda,MX-5 Miata,Two Seaters,1.8,Manual 6-spd,4,Rear-Wheel Drive,Regular,FALSE,FALSE,FALSE,21,26,23,NA,NA, Japan
2000,mercedes-benz,SL500,Two Seaters,5,Automatic 5-spd,8,Rear-Wheel Drive,Premium,FALSE,FALSE,FALSE,14,21,17,50,8, Germany
