Country,Year,GDPPC,LifeExpectancy,Population,Region
Afghanistan,1800,603,28.211,3280000,South Asia
Albania,1800,667,35.4,410445,Europe & Central Asia
Algeria,1800,716,28.8224,2503218,Middle East & North Africa
American Samoa,1800,NA,NA,8170,East Asia & Pacific
Andorra,1800,1197,NA,2654,Europe & Central Asia
Angola,1800,618,26.98,1567028,Sub-Saharan Africa
Anguilla,1800,NA,NA,2025,America
Antigua and Barbuda,1800,757,33.536,37000,America
Argentina,1800,1507,33.2,534000,America
Armenia,1800,514,33.995,413326,Europe & Central Asia
Aruba,1800,833,34.419,19286,America
Australia,1800,815,34.05,351014,East Asia & Pacific
Austria,1800,1848,34.4,3205587,Europe & Central Asia
Azerbaijan,1800,775,29.165,879960,Europe & Central Asia
Bahamas,1800,1445,35.179,27350,America
Bahrain,1800,1235,30.3,64474,Middle East & North Africa
Bangladesh,1800,876,25.5,19227358,South Asia
Barbados,1800,913,32.124,81729,America
Belarus,1800,608,36.2,2355081,Europe & Central Asia
Belgium,1800,2412,40,3138137,Europe & Central Asia
Belize,1800,579,26.5,25526,America
Benin,1800,597,31,636559,Sub-Saharan Africa
Bermuda,1800,1227,NA,9692,America
Bhutan,1800,629,28.799,89989,South Asia
Bolivia,1800,854,33,1100000,America
Bosnia and Herzegovina,1800,669,35.1,851806,Europe & Central Asia
Botswana,1800,397,33.6,121000,Sub-Saharan Africa
Brazil,1800,1109,32,3639636,America
British Virgin Islands,1800,NA,NA,6700,America
Brunei,1800,1512,29.2,2128,East Asia & Pacific
Bulgaria,1800,1089,35.8,1992320,Europe & Central Asia
Burkina Faso,1800,480,29.2,1665421,Sub-Saharan Africa
Burundi,1800,418,31.5,899097,Sub-Saharan Africa
Cambodia,1800,903,35,2090000,East Asia & Pacific
Cameroon,1800,626,28.75,1860054,Sub-Saharan Africa
Canada,1800,1314,39,645526,America
Cape Verde,1800,529,33.8,55716,Sub-Saharan Africa
Cayman Islands,1800,1039,NA,2439,America
Central African Republic,1800,424,30,479444,NA
Chad,1800,418,30.9,1432000,Sub-Saharan Africa
Channel Islands,1800,NA,NA,43908,Europe & Central Asia
Chile,1800,1026,32,771447,America
China,1800,985,32,321675013,East Asia & Pacific
Colombia,1800,963,32,1206000,America
Comoros,1800,696,32.1,56346,Sub-Saharan Africa
"Congo, Dem. Rep.",1800,485,31.6,5163819,Sub-Saharan Africa
"Congo, Rep.",1800,575,32.7,314465,Sub-Saharan Africa
Cook Is,1800,NA,NA,16136,NA
Costa Rica,1800,775,30.2147,51987,America
Cote d'Ivoire,1800,812,31.156,1088530,Sub-Saharan Africa
Croatia,1800,NA,36.1,1227886,Europe & Central Asia
Cuba,1800,864,32.2,345043,America
Cyprus,1800,853,38.5,184392,Europe & Central Asia
Czech Republic,1800,1915,34.9544,5516349,NA
Denmark,1800,2013,37.4055532520793,1062514,Europe & Central Asia
Djibouti,1800,752,29.9,22848,Middle East & North Africa
Dominica,1800,663,NA,19950,America
Dominican Republic,1800,667,29.9,89000,NA
Ecuador,1800,529,32.9,500000,America
Egypt,1800,791,33,4243515,Middle East & North Africa
El Salvador,1800,974,28.7,248000,America
Equatorial Guinea,1800,356,29.8,80377,Sub-Saharan Africa
Eritrea,1800,532,30.2,205010,Sub-Saharan Africa
Estonia,1800,938,36.1419674277376,334136,Europe & Central Asia
Ethiopia,1800,523,29.7,2948990,Sub-Saharan Africa
Faeroe Islands,1800,NA,NA,13537,Europe & Central Asia
Falkland Is (Malvinas),1800,NA,NA,100,NA
Fiji,1800,785,26.1,130533,East Asia & Pacific
Finland,1800,1244,36.5731262034154,977662,Europe & Central Asia
France,1800,1803,33.967170239091,29355111,Europe & Central Asia
French Guiana,1800,NA,30.5,9899,America
French Polynesia,1800,NA,25.6,62530,East Asia & Pacific
Gabon,1800,390,30.6,158227,Sub-Saharan Africa
Gambia,1800,813,28.8,103274,Sub-Saharan Africa
Georgia,1800,543,31.871,1072178,Europe & Central Asia
Germany,1800,1639,38.37,22886919,Europe & Central Asia
Ghana,1800,696,28,2016034,Sub-Saharan Africa
Gibraltar,1800,NA,NA,9873,Europe & Central Asia
Greece,1800,1371,36.6,2151155,Europe & Central Asia
Greenland,1800,393,33.867,9584,Europe & Central Asia
Grenada,1800,959,31.4,29409,America
Guadeloupe,1800,NA,27.655,80726,America
Guam,1800,NA,27.5,6053,East Asia & Pacific
Guatemala,1800,857,25.8,458965,America
Guinea,1800,450,29.5,983959,Sub-Saharan Africa
Guinea-Bissau,1800,777,32,218167,Sub-Saharan Africa
Guyana,1800,1214,31.12,166034,America
Haiti,1800,633,29,723000,America
Holy See,1800,NA,NA,905,Europe & Central Asia
Honduras,1800,675,33.9,126118,America
"Hong Kong, China",1800,1007,34.9,20000,East Asia & Pacific
Hungary,1800,1249,36,3499771,Europe & Central Asia
Iceland,1800,926,42.8455991183074,61428,Europe & Central Asia
India,1800,1052,25.4424,168574895,South Asia
Indonesia,1800,994,30,16108545,East Asia & Pacific
Iran,1800,977,25.6,6269721,Middle East & North Africa
Iraq,1800,970,31.2,1076920,Middle East & North Africa
Ireland,1800,1447,38.3,4064749,Europe & Central Asia
Isle of Man,1800,NA,NA,23533,Europe & Central Asia
Israel,1800,879,32,209954,Middle East & North Africa
Italy,1800,2225,29.69,18822234,Europe & Central Asia
Jamaica,1800,1170,34.2,401000,America
Japan,1800,1050,36.4,30294378,East Asia & Pacific
Jordan,1800,976,31.7,217000,Middle East & North Africa
Kazakhstan,1800,1140,26.2,2041282,Europe & Central Asia
Kenya,1800,854,25.5,2574000,Sub-Saharan Africa
Kiribati,1800,551,24.9,17876,East Asia & Pacific
North Korea,1800,579,26,4345000,NA
South Korea,1800,576,25.8,9395000,NA
Kuwait,1800,1097,26,81280,Middle East & North Africa
Kyrgyz Republic,1800,508,23.941,530343,NA
Lao,1800,864,31.9,470000,NA
Latvia,1800,751,33,590588,Europe & Central Asia
Lebanon,1800,1081,29.7,332000,Middle East & North Africa
Lesotho,1800,393,32.8,276361,Sub-Saharan Africa
Liberia,1800,797,31.1,313543,Sub-Saharan Africa
Libya,1800,1050,33.1,531472,Middle East & North Africa
Liechtenstein,1800,NA,NA,5802,Europe & Central Asia
Lithuania,1800,1270,28.9,778655,Europe & Central Asia
Luxembourg,1800,1453,36.9,127030,Europe & Central Asia
"Macao, China",1800,992,34.7,17311,East Asia & Pacific
"Macedonia, FYR",1800,690,36.1,391865,Europe & Central Asia
Madagascar,1800,573,30.5,1543133,Sub-Saharan Africa
Malawi,1800,350,30.3,737000,Sub-Saharan Africa
Malaysia,1800,997,30.6,287000,East Asia & Pacific
Maldives,1800,842,32.647,42378,South Asia
Mali,1800,603,26.408,1403398,Sub-Saharan Africa
Malta,1800,781,28.7,134072,Europe & Central Asia
Marshall Islands,1800,539,NA,5828,East Asia & Pacific
Martinique,1800,NA,30.153,84039,America
Mauritania,1800,527,32,382696,Sub-Saharan Africa
Mauritius,1800,940,28.7,62865,Sub-Saharan Africa
Mayotte,1800,NA,32.5,8219,Sub-Saharan Africa
Mexico,1800,1379,26.9,6181708,America
"Micronesia, Fed. Sts.",1800,518,26.7,16416,East Asia & Pacific
Moldova,1800,621,33.145,712558,Europe & Central Asia
Monaco,1800,1948,NA,7789,Europe & Central Asia
Mongolia,1800,592,31.8,619000,East Asia & Pacific
Montenegro,1800,1057,35.4,126582,Europe & Central Asia
Montserrat,1800,NA,NA,5230,America
Morocco,1800,715,33.1,2503218,Middle East & North Africa
Mozambique,1800,390,30.278,1982324,Sub-Saharan Africa
Myanmar,1800,840,30.8,3506000,East Asia & Pacific
Namibia,1800,540,32.4,229000,Sub-Saharan Africa
Nauru,1800,554,NA,1834,East Asia & Pacific
Nepal,1800,654,32.8,3881000,South Asia
Netherlands,1800,4235,39.86,2254522,Europe & Central Asia
New Caledonia,1800,NA,26,29432,East Asia & Pacific
New Zealand,1800,658,34.05,100000,East Asia & Pacific
Nicaragua,1800,973,25.4,219387,America
Niger,1800,446,30.8,1244861,Sub-Saharan Africa
Nigeria,1800,851,30.4,12100855,Sub-Saharan Africa
Niue,1800,NA,NA,4538,East Asia & Pacific
Northern Mariana Islands,1800,NA,NA,3360,East Asia & Pacific
Norway,1800,1278,37.9162089880228,868570,Europe & Central Asia
Oman,1800,915,32.3,318000,Middle East & North Africa
Pakistan,1800,1021,25.8,13123633,South Asia
Palau,1800,839,NA,3875,East Asia & Pacific
Panama,1800,847,32.9,78842,America
Papua New Guinea,1800,546,31.5,754894,East Asia & Pacific
Paraguay,1800,835,35.5,143000,America
Peru,1800,1204,35.7,1314151,America
Philippines,1800,962,30.9,1894389,East Asia & Pacific
Poland,1800,1213,35.9,9508747,Europe & Central Asia
Portugal,1800,1685,35.6,3033454,Europe & Central Asia
Puerto Rico,1800,1375,30.43,155000,America
Qatar,1800,1097,30.8,14092,Middle East & North Africa
Reunion,1800,NA,33,92744,Sub-Saharan Africa
Romania,1800,815,35.7,5464085,Europe & Central Asia
Russia,1800,1430,29.5734571976521,31088398,Europe & Central Asia
Rwanda,1800,431,31.8,928368,Sub-Saharan Africa
St. Helena,1800,NA,NA,1997,NA
St. Kitts and Nevis,1800,1164,NA,17202,NA
St. Lucia,1800,874,28.008,24000,NA
St. Vincent and the Grenadines,1800,838,25.986,25781,NA
St.-Pierre-et-Miquelon,1800,NA,NA,1782,NA
Samoa,1800,1400,25.4,47300,East Asia & Pacific
San Marino,1800,1401,NA,5492,Europe & Central Asia
Sao Tome and Principe,1800,850,31,22731,Sub-Saharan Africa
Saudi Arabia,1800,846,32.1,2091000,Middle East & North Africa
Senegal,1800,497,25.2,1009886,Sub-Saharan Africa
Serbia,1800,1358,35.5,2147197,Europe & Central Asia
Seychelles,1800,792,37,12522,Sub-Saharan Africa
Sierra Leone,1800,734,25.1,794264,Sub-Saharan Africa
Singapore,1800,1021,29.1,30000,East Asia & Pacific
Slovak Republic,1800,1427,36.4,2140651,Europe & Central Asia
Slovenia,1800,1409,36.6,469664,Europe & Central Asia
Solomon Islands,1800,363,25.1,56998,East Asia & Pacific
Somalia,1800,694,29.4,991488,Sub-Saharan Africa
South Africa,1800,1480,33.5,1440820,Sub-Saharan Africa
Spain,1800,1518,29.5,11549294,Europe & Central Asia
Sri Lanka,1800,898,32.6,1213000,South Asia
Sudan,1800,518,31.4,3994154,Sub-Saharan Africa
Suriname,1800,1636,32.9,80721,America
Swaziland,1800,490,32.3,86000,Sub-Saharan Africa
Sweden,1800,1414,32.16,2354189,Europe & Central Asia
Switzerland,1800,2701,38,1826051,Europe & Central Asia
Syria,1800,1081,31.1,1337000,Middle East & North Africa
Tajikistan,1800,556,24.235,466629,Europe & Central Asia
Tanzania,1800,562,32.2,3019768,Sub-Saharan Africa
Thailand,1800,931,30.4,4665000,East Asia & Pacific
Timor-Leste,1800,521,28.949,137262,East Asia & Pacific
Togo,1800,682,31.3,445985,Sub-Saharan Africa
Tokelau,1800,NA,NA,1009,East Asia & Pacific
Tonga,1800,663,28.2,18658,East Asia & Pacific
Trinidad and Tobago,1800,1230,32.9,60000,America
Tunisia,1800,716,28.8,862029,Middle East & North Africa
Turkey,1800,1221,35,9773456,Europe & Central Asia
Turkmenistan,1800,943,24,367215,Europe & Central Asia
Turks and Caicos Islands,1800,487,NA,3296,America
Tuvalu,1800,719,NA,2499,East Asia & Pacific
Uganda,1800,464,25.3,2101397,Sub-Saharan Africa
Ukraine,1800,763,36.6,11215490,Europe & Central Asia
United Arab Emirates,1800,998,30.7,40153,Middle East & North Africa
United Kingdom,1800,3431,38.6497602996604,12327466,Europe & Central Asia
United States,1800,2128,39.41,6801854,America
Uruguay,1800,1758,32.9,55000,America
Uzbekistan,1800,502,26.926,1919159,Europe & Central Asia
Wallis et Futuna,1800,NA,NA,3721,East Asia & Pacific
Vanuatu,1800,585,24.3,27791,East Asia & Pacific
Venezuela,1800,682,32.2,718000,America
West Bank and Gaza,1800,1220,32.1,165944,Middle East & North Africa
Western Sahara,1800,NA,34.753,2788,Middle East & North Africa
Vietnam,1800,861,32,6551000,East Asia & Pacific
Virgin Islands (U.S.),1800,NA,33.403,40000,America
Yemen,1800,877,23.387,2593000,NA
Zambia,1800,663,32.6,747000,Sub-Saharan Africa
Zimbabwe,1800,869,33.7,1085814,Sub-Saharan Africa
South Sudan,1800,507,26.665,1027378,Sub-Saharan Africa
Afghanistan,1801,603,28.2007533333333,3280000,South Asia
Albania,1801,667,35.4,410445,Europe & Central Asia
Algeria,1801,716,28.8224,2503218,Middle East & North Africa
American Samoa,1801,NA,NA,8170,East Asia & Pacific
Andorra,1801,1199,NA,2654,Europe & Central Asia
Angola,1801,620,26.98,1567028,Sub-Saharan Africa
Anguilla,1801,NA,NA,2025,America
Antigua and Barbuda,1801,757,33.536,37000,America
Argentina,1801,1508,33.2,534000,America
Armenia,1801,514,33.995,413326,Europe & Central Asia
Aruba,1801,833,34.419,19286,America
Australia,1801,816,34.05,351014,East Asia & Pacific
Austria,1801,1855,34.4,3205587,Europe & Central Asia
Azerbaijan,1801,775,29.165,879960,Europe & Central Asia
Bahamas,1801,1445,35.179,27350,America
Bahrain,1801,1240,30.3,64474,Middle East & North Africa
Bangladesh,1801,876,25.5,19227358,South Asia
Barbados,1801,914,32.124,81729,America
Belarus,1801,608,36.2,2355081,Europe & Central Asia
Belgium,1801,2413,40.0080487804878,3138137,Europe & Central Asia
Belize,1801,579,26.5,25526,America
Benin,1801,597,31,636559,Sub-Saharan Africa
Bermuda,1801,1227,NA,9692,America
Bhutan,1801,629,28.799,89989,South Asia
Bolivia,1801,854,33,1100000,America
Bosnia and Herzegovina,1801,669,35.1,851806,Europe & Central Asia
Botswana,1801,397,33.6,121000,Sub-Saharan Africa
Brazil,1801,1109,31.9998066666667,3639636,America
British Virgin Islands,1801,NA,NA,6700,America
Brunei,1801,1512,29.2,2128,East Asia & Pacific
Bulgaria,1801,1089,35.844,1992320,Europe & Central Asia
Burkina Faso,1801,480,29.2,1665421,Sub-Saharan Africa
Burundi,1801,418,31.5,899097,Sub-Saharan Africa
Cambodia,1801,904,35,2090000,East Asia & Pacific
Cameroon,1801,626,28.75,1860054,Sub-Saharan Africa
Canada,1801,1322,39.0014967741936,645526,America
Cape Verde,1801,529,33.8,55716,Sub-Saharan Africa
Cayman Islands,1801,1039,NA,2439,America
Central African Republic,1801,424,30,479444,NA
Chad,1801,418,30.9,1432000,Sub-Saharan Africa
Channel Islands,1801,NA,NA,43908,Europe & Central Asia
Chile,1801,1026,32,771447,America
China,1801,985,32,321675013,East Asia & Pacific
Colombia,1801,963,32,1206000,America
Comoros,1801,697,32.1,56346,Sub-Saharan Africa
"Congo, Dem. Rep.",1801,487,31.6,5163819,Sub-Saharan Africa
"Congo, Rep.",1801,576,32.7,314465,Sub-Saharan Africa
Cook Is,1801,NA,NA,16136,NA
Costa Rica,1801,775,30.2147,51987,America
Cote d'Ivoire,1801,816,31.156,1088530,Sub-Saharan Africa
Croatia,1801,NA,36.1,1227886,Europe & Central Asia
Cuba,1801,874,32.325,345043,America
Cyprus,1801,854,38.5001263157895,184392,Europe & Central Asia
Czech Republic,1801,1916,34.9544,5516349,NA
Denmark,1801,2017,38.5132847405481,1062514,Europe & Central Asia
Djibouti,1801,754,29.9,22848,Middle East & North Africa
Dominica,1801,663,NA,19950,America
Dominican Republic,1801,667,29.9,89000,NA
Ecuador,1801,529,32.9,500000,America
Egypt,1801,791,33,4243515,Middle East & North Africa
El Salvador,1801,975,28.7,248000,America
Equatorial Guinea,1801,356,29.8,80377,Sub-Saharan Africa
Eritrea,1801,532,30.2,205010,Sub-Saharan Africa
Estonia,1801,939,35.7000725782256,334136,Europe & Central Asia
Ethiopia,1801,523,29.7,2948990,Sub-Saharan Africa
Faeroe Islands,1801,NA,NA,13537,Europe & Central Asia
Falkland Is (Malvinas),1801,NA,NA,100,NA
Fiji,1801,785,26.1,130533,East Asia & Pacific
Finland,1801,1246,40.2999893681334,977662,Europe & Central Asia
France,1801,1806,36.3746487788874,29355111,Europe & Central Asia
French Guiana,1801,NA,30.5,9899,America
French Polynesia,1801,NA,25.6,62530,East Asia & Pacific
Gabon,1801,390,30.6,158227,Sub-Saharan Africa
Gambia,1801,813,28.8,103274,Sub-Saharan Africa
Georgia,1801,543,31.871,1072178,Europe & Central Asia
Germany,1801,1651,38.37,22886919,Europe & Central Asia
Ghana,1801,696,28,2016034,Sub-Saharan Africa
Gibraltar,1801,NA,NA,9873,Europe & Central Asia
Greece,1801,1374,36.6,2151155,Europe & Central Asia
Greenland,1801,393,33.8670031192147,9584,Europe & Central Asia
Grenada,1801,959,31.4,29409,America
Guadeloupe,1801,NA,27.655,80726,America
Guam,1801,NA,27.5,6053,East Asia & Pacific
Guatemala,1801,857,25.80016,458965,America
Guinea,1801,450,29.5103448275862,983959,Sub-Saharan Africa
Guinea-Bissau,1801,777,32,218167,Sub-Saharan Africa
Guyana,1801,1214,31.12,166034,America
Haiti,1801,633,29,723000,America
Holy See,1801,NA,NA,905,Europe & Central Asia
Honduras,1801,675,33.9,126118,America
"Hong Kong, China",1801,1007,34.9,20000,East Asia & Pacific
Hungary,1801,1249,36,3499771,Europe & Central Asia
Iceland,1801,926,33.8797927326943,61428,Europe & Central Asia
India,1801,1052,25.4424,168574895,South Asia
Indonesia,1801,994,30,16108545,East Asia & Pacific
Iran,1801,977,25.6,6269721,Middle East & North Africa
Iraq,1801,970,31.2,1076920,Middle East & North Africa
Ireland,1801,1447,38.3,4064749,Europe & Central Asia
Isle of Man,1801,NA,NA,23533,Europe & Central Asia
Israel,1801,880,32,209954,Middle East & North Africa
Italy,1801,2197,29.69,18822234,Europe & Central Asia
Jamaica,1801,1171,34.2,401000,America
Japan,1801,1051,36.4003975384615,30294378,East Asia & Pacific
Jordan,1801,976,31.7,217000,Middle East & North Africa
Kazakhstan,1801,1141,26.2,2041282,Europe & Central Asia
Kenya,1801,856,25.5,2574000,Sub-Saharan Africa
Kiribati,1801,551,24.9,17876,East Asia & Pacific
North Korea,1801,578,26,4345000,NA
South Korea,1801,575,25.8,9395000,NA
Kuwait,1801,1101,26,81280,Middle East & North Africa
Kyrgyz Republic,1801,508,23.941,530343,NA
Lao,1801,865,31.9,470000,NA
Latvia,1801,752,33,590588,Europe & Central Asia
Lebanon,1801,1082,29.7,332000,Middle East & North Africa
Lesotho,1801,393,32.8,276361,Sub-Saharan Africa
Liberia,1801,797,31.1,313543,Sub-Saharan Africa
Libya,1801,1050,33.1,531472,Middle East & North Africa
Liechtenstein,1801,NA,NA,5802,Europe & Central Asia
Lithuania,1801,1271,28.9,778655,Europe & Central Asia
Luxembourg,1801,1453,36.9,127030,Europe & Central Asia
